location,scenario,future_period,gcm,temp_metric_name,temp_metric_value,historical_temp_metric_value,temp_deviation_from_historical,temp_rank,temp_class
Cairns,ssp370,2030,ACCESS-CM2,annual_mean_temperature,25.376,24.577,0.798,6,
Cairns,ssp370,2030,EC-Earth3,annual_mean_temperature,25.526,24.577,0.949,7,hottest
Cairns,ssp370,2050,NorESM2-MM,annual_mean_temperature,25.679,24.577,1.101,1,coolest
Cairns,ssp370,2050,CMCC-ESM2,annual_mean_temperature,25.786,24.577,1.208,2,
Cairns,ssp370,2050,CESM2,annual_mean_temperature,25.857,24.577,1.279,3,
Cairns,ssp370,2050,MPI-ESM1-2-HR,annual_mean_temperature,25.892,24.577,1.314,4,median
Cairns,ssp370,2050,ACCESS-ESM1-5,annual_mean_temperature,26.078,24.577,1.501,5,
Cairns,ssp370,2050,EC-Earth3,annual_mean_temperature,26.201,24.577,1.623,6,
Cairns,ssp370,2050,ACCESS-CM2,annual_mean_temperature,26.357,24.577,1.78,7,hottest
Cairns,ssp370,2070,NorESM2-MM,annual_mean_temperature,26.243,24.577,1.666,1,coolest
Cairns,ssp370,2070,MPI-ESM1-2-HR,annual_mean_temperature,26.404,24.577,1.826,2,
Cairns,ssp370,2070,ACCESS-ESM1-5,annual_mean_temperature,26.65,24.577,2.073,3,
Cairns,ssp370,2070,CMCC-ESM2,annual_mean_temperature,26.716,24.577,2.139,4,median
Cairns,ssp370,2070,CESM2,annual_mean_temperature,27.033,24.577,2.455,5,
Cairns,ssp370,2070,EC-Earth3,annual_mean_temperature,27.117,24.577,2.539,6,
Cairns,ssp370,2070,ACCESS-CM2,annual_mean_temperature,27.246,24.577,2.669,7,hottest
Canberra,ssp126,2030,NorESM2-MM,annual_mean_temperature,13.558,13.29,0.268,1,coolest
Canberra,ssp126,2030,MPI-ESM1-2-HR,annual_mean_temperature,13.915,13.29,0.625,2,
Canberra,ssp126,2030,EC-Earth3,annual_mean_temperature,13.945,13.29,0.655,3,
Canberra,ssp126,2030,CMCC-ESM2,annual_mean_temperature,13.947,13.29,0.657,4,median
Canberra,ssp126,2030,ACCESS-CM2,annual_mean_temperature,14.06,13.29,0.77,5,
Canberra,ssp126,2030,ACCESS-ESM1-5,annual_mean_temperature,14.108,13.29,0.818,6,
Canberra,ssp126,2030,CESM2,annual_mean_temperature,14.559,13.29,1.269,7,hottest
Canberra,ssp126,2050,NorESM2-MM,annual_mean_temperature,13.878,13.29,0.588,1,coolest
Canberra,ssp126,2050,MPI-ESM1-2-HR,annual_mean_temperature,14.11,13.29,0.82,2,
Canberra,ssp126,2050,EC-Earth3,annual_mean_temperature,14.273,13.29,0.983,3,
Canberra,ssp126,2050,ACCESS-ESM1-5,annual_mean_temperature,14.321,13.29,1.031,4,median
Canberra,ssp126,2050,CMCC-ESM2,annual_mean_temperature,14.394,13.29,1.104,5,
